Designator,Mid X,Mid Y,Rotation,Layer
C1,151.4000,-59.8000,90.00,bottom
C2,150.0000,-59.8000,180.00,bottom
C3,151.4000,-57.8000,90.00,bottom
C4,130.8000,-53.9200,90.00,top
C5,134.1000,-60.2000,90.00,bottom
C6,132.0000,-65.8000,90.00,bottom
C9,129.0000,-63.8000,90.00,top
C10,134.4000,-72.9000,0.00,bottom
C11,140.8000,-69.1000,0.00,top
C12,137.2000,-73.4000,180.00,top
C15,133.6000,-59.7000,270.00,top
C16,139.1500,-59.7000,90.00,top
C17,145.2000,-55.3600,0.00,top
C18,155.0000,-67.8000,90.00,top
C19,140.3000,-67.6000,0.00,top
D1,134.8000,-66.0000,90.00,bottom
D2,155.0000,-63.7000,90.00,bottom
D3,131.6000,-56.0000,180.00,top
D4,130.5000,-56.5000,90.00,bottom
D7,144.0000,-73.5000,0.00,top
D8,154.0000,-64.0000,90.00,top
D9,153.5000,-73.5000,0.00,top
D10,147.0000,-73.5000,0.00,top
J2,147.0000,-78.5350,0.00,top
L1,140.8000,-55.3600,0.00,top
Q2,155.0000,-68.2000,270.00,bottom
R1,150.0000,-57.8000,180.00,bottom
R2,129.0000,-63.8000,270.00,bottom
R3,129.0000,-66.3000,180.00,bottom
R7,137.9750,-75.8000,270.00,top
R8,136.4250,-75.8000,270.00,top
R9,145.5000,-63.5000,0.00,top
R13,147.0000,-64.5000,180.00,bottom
R14,140.2000,-64.0000,0.00,top
R15,137.4000,-59.7000,90.00,top
R16,140.6500,-59.7000,270.00,top
R17,147.0000,-70.5000,180.00,bottom
R18,150.0000,-72.0000,180.00,bottom
R19,144.0000,-72.0000,180.00,bottom
R20,149.5000,-69.0000,0.00,top
R21,149.5000,-71.0000,0.00,top
R22,149.5000,-73.0000,0.00,top
R23,140.1000,-62.9000,180.00,top
R24,141.8000,-64.7000,180.00,bottom
R25,147.7000,-58.4000,180.00,top
R26,137.2000,-66.1000,180.00,bottom
U1,141.8000,-55.5000,0.00,bottom
U2,131.5000,-62.2000,270.00,bottom
U3,134.2000,-68.5000,270.00,top
U5,153.5000,-70.0000,180.00,top
U6,136.5000,-56.5000,90.00,top
