Designator,Mid X,Mid Y,Rotation,Layer
C1,133.2000,-53.9200,90.00,top
C2,132.0000,-53.9200,90.00,top
C3,128.8000,-63.0000,90.00,bottom
C4,130.8000,-53.9200,90.00,top
C5,140.0000,-68.5000,90.00,bottom
C6,145.2000,-68.6000,90.00,bottom
C9,137.8000,-66.0000,180.00,bottom
C10,134.4000,-72.9000,0.00,bottom
C11,138.5200,-65.4600,90.00,top
C12,131.2500,-74.5000,180.00,top
C15,147.0000,-60.2000,90.00,top
C16,142.5000,-61.0000,0.00,top
C17,141.0000,-56.0000,0.00,top
C18,151.0000,-60.6000,90.00,top
D1,134.8000,-66.0000,90.00,bottom
D2,150.9000,-63.7000,90.00,bottom
D3,131.6000,-56.0000,180.00,top
D4,130.5000,-56.5000,90.00,bottom
D7,140.5000,-68.2000,0.00,top
D8,149.8000,-64.0000,90.00,top
D9,146.0000,-65.5000,0.00,top
D10,143.5000,-68.2000,0.00,top
J2,143.5000,-74.5350,0.00,top
J3,151.2000,-55.7500,0.00,top
J4,141.2250,-75.4750,0.00,top
L1,138.0000,-61.0000,0.00,top
Q1,130.5000,-69.5000,0.00,bottom
Q2,150.5000,-68.0900,90.00,bottom
R1,149.1000,-59.7500,0.00,top
R2,128.9000,-61.1000,180.00,bottom
R3,132.0000,-65.3000,180.00,bottom
R5,133.7000,-70.5000,180.00,bottom
R6,136.3000,-70.5000,180.00,bottom
R7,135.8000,-74.5000,0.00,top
R8,128.8000,-73.5000,270.00,top
R9,145.5000,-63.5000,0.00,top
R13,151.0000,-60.1000,180.00,bottom
R14,140.2000,-64.0000,0.00,top
R15,144.0000,-56.8000,0.00,top
R16,145.8000,-56.0000,90.00,top
R17,143.5000,-65.8000,180.00,bottom
R18,146.0000,-66.0000,180.00,bottom
R19,141.0000,-66.0000,180.00,bottom
U1,141.8000,-55.5000,0.00,bottom
U2,132.0000,-62.2000,270.00,bottom
U3,133.5000,-68.5000,270.00,top
U5,149.7000,-68.2000,0.00,top
U6,133.2000,-61.0000,90.00,top
